BARRIO;CATEGORIA
Belen;1
Boston;1
Calle Nueva;1
Castilla;1
Corazon de Jesus;1
Cristo Rey;1
El Chagualo;1
El Poblado;1
El Progreso;1
Guayabal;1
Jesus Nazareno;1
La Aguacatala;1
La Alpujarra;1
Las Acacias;1
Laureles;1
Los Colores;1
Manila;1
Naranjal;1
Prado;1
Rosales;1
Suramericana;1
Terminal de Transporte;1
Universidad Nacional;1
Villa Carlota;1
Villa Nueva;1
Barrio Colon;2
Campo Amor;2
Caribe;2
Carlos E. Restrepo;2
Guayaquil;2
La Candelaria;2
Los Conquistadores;2
Perpetuo Socorro;2
San Benito;2
San Diego;2
Santa Fe;2
La Pinuela;3
La Pradera;3
La Rosa;3
La Salle;3
La Sierra;3
Lalinde;3
Las Esmeraldas;3
Las Estancias;3
Las Independencias;3
Las Lomas No.2;3
Las Mercedes;3
Las Palmas;3
Las Violetas;3
Llanaditas;3
Loma de los Bernal;3
Loreto;3
Los Alcazares;3
Los Alpes;3
Los Balsos No.1;3
Los Cerros El Vergel;3
Los Mangos;3
Los Naranjos;3
Manrique Central No. 2;3
Manrique Central No.1;3
Manrique Central No.2;3
Maria Cano Carambolas;3
Metropolitano;3
Mirador del Doce;3
Miravalle;3
Monteclaro;3
Moscu No. 1;3
Moscu No. 2;3
Moscu No.1;3
Moscu No.2;3
Nueva Villa de Aburra;3
Nueva Villa de La Iguana;3
Nueva Villa de la Iguana;3
Nuevos Conquistadores;3
Ocho de Marzo;3
Olaya Herrera;3
Oleoducto;3
Oriente;3
Pablo VI;3
Pajarito;3
Palenque;3
Palermo;3
Parque Norte;3
Picachito;3
Picacho;3
Playon de Los Comuneros;3
Plaza de Ferias;3
Popular;3
San Antonio;3
San Javier No.2;3
San Jose la Cima No. 1;3
San Jose la Cima No.2;3
San Lucas;3
San Martin de Porres;3
San Pablo;3
Santa Cruz;3
Santa Ines;3
Santa Lucia;3
Santa Margarita;3
Santa Maria de Los Angeles;3
Santa Monica;3
Santa Rosa de Lima;3
Santa Teresita;3
Santander;3
Santo Domingo Savio No. 1;3
Santo Domingo Savio No. 2;3
Santo Domingo Savio No.1;3
Simon Bolivar;3
Sin Nombre;3
Tejelo;3
Trece de Noviembre;3
U.D. Atanasio Girardot;3
U.P.B.;3
Veinte de Julio;3
Versalles No. 1;3
Versalles No. 2;3
Versalles No.1;3
Versalles No.2;3
Villa Guadalupe;3
Villa Hermosa;3
Villa Liliam;3
Villa Lilliam;3
Villa Niza;3
Villa Turbay;3
Villa del Socorro;3
Villatina;3
